stars,text,clean_text,sentences,lemm_sentences
5,Bonito lugar. Con gimnasio piscina,bonito lugar. con gimnasio piscina,"['bonito lugar', 'con gimnasio piscina']","['bonito lugar', 'con gimnasio piscín']"
5,Excelente lugar para relajarse,excelente lugar para relajarse,['excelente lugar para relajarse'],['excelente lugar para relajar él']
5,Muy agradable lugar,muy agradable lugar,['muy agradable lugar'],['mucho agradable lugar']
5,Muy bonito salón,muy bonito salon,['muy bonito salon'],['mucho bonito salon']
5,Me encanta mi gym,me encanta mi gym,['me encanta mi gym'],['yo encantar mi gym']
5,Te lo alquilan si lo necesitas.,te lo alquilan si lo necesitas.,['te lo alquilan si lo necesitas'],['tú él alquilar si él necesitar']
5,Instalaciones muy cómodas.,instalaciones muy comodas.,['instalaciones muy comodas'],['instalación mucho comoda']
5,Muy buen club y completo,muy buen club y completo,['muy buen club y completo'],['mucho buen club y completo']
5,Muy tranquilo y seguro,muy tranquilo y seguro,['muy tranquilo y seguro'],['mucho tranquilo y seguro']
5,Buen lugar para eventos,buen lugar para eventos,['buen lugar para eventos'],['buen lugar para evento']
4,"Hay piscina, sauna, gym, comida","hay piscina, sauna, gym, comida",['hay piscina sauna gym comida'],['haber piscina saún gym comida']
5,Dentro del perímetro de la ciudad te aislas y relajas,dentro del perimetro de la ciudad te aislas y relajas,['dentro del perimetro de la ciudad te aislas y relajas'],['dentro del perimetro de el ciudad tú ais él y relaja']
5,Recomendado!!!,recomendado!!!,['recomendado'],['recomendado']
4,Con muchas actividades agradables,con muchas actividades agradables,['con muchas actividades agradables'],['con mucho actividad agradable']
5,Club privado familiar para realizar deportes.,club privado familiar para realizar deportes.,['club privado familiar para realizar deportes'],['club privado familiar para realizar deporte']
5,Es muy bonito,es muy bonito,['es muy bonito'],['ser mucho bonito']
3,Falta señalización para llegar al Club.,falta senializacion para llegar al club.,['falta senializacion para llegar al club'],['falta senializacion para llegar al club']
4,Muy buenas canchas de football..!!,muy buenas canchas de football..!!,['muy buenas canchas de football'],['mucho buena cancha de football']
5,Muy buen lugar,muy buen lugar,['muy buen lugar'],['mucho buen lugar']
5,Súper Club para Ejercitarse y Reuniones Sociales,super club para ejercitarse y reuniones sociales,['super club para ejercitarse y reuniones sociales'],['super club para ejercitar él y reunión social']
5,Mucho que disfrutar,mucho que disfrutar,['mucho que disfrutar'],['mucho que disfrutar']
5,Muy amables,muy amables,['muy amables'],['mucho amable']
5,El sauna está super!,el sauna esta super!,['el sauna esta super'],['el sauna este super']
5,Agradable ambiente!! !!!,agradable ambiente!! !!!,['agradable ambiente'],['agradable ambiente']
5,El mejor club al aire libre.,el mejor club al aire libre.,['el mejor club al aire libre'],['el mejor club al aire libre']
4,Bien ubicado,bien ubicado,['bien ubicado'],['bien ubicado']
5,Lindo lugar.,lindo lugar.,['lindo lugar'],['lindo lugar']
5,Muy buen club,muy buen club,['muy buen club'],['mucho buen club']
4,Es bastante accesible,es bastante accesible,['es bastante accesible'],['ser bastante accesible']
4,Recomendado el curso de vacaciones,recomendado el curso de vacaciones,['recomendado el curso de vacaciones'],['recomendar el curso de vacación']
5,Excelente club.,excelente club.,['excelente club'],['excelente club']
5,Muy buenas instalaciones,muy buenas instalaciones,['muy buenas instalaciones'],['mucho buena instalación']
5,Convivió navideño,convivio navidenio,['convivio navidenio'],['convivio navidenio']
3,No esta mal.,no esta mal.,['no esta mal'],['no este mal']
5,Es seguro,es seguro,['es seguro'],['ser seguro']
5,El mejor club de la ciudad!,el mejor club de la ciudad!,['el mejor club de la ciudad'],['el mejor club de el ciudad']
4,Agradable lugar,agradable lugar,['agradable lugar'],['agradable lugar']
5,Excelente lugar,excelente lugar,['excelente lugar'],['excelente lugar']
5,Privacidad y confort,privacidad y confort,['privacidad y confort'],['privacidad y confort']
5,Muy bendecida! 💪💯…,muy bendecida! 💪💯…,['muy bendecida'],['mucho bendecido']
4,Bonito lugar.,bonito lugar.,['bonito lugar'],['bonito lugar']
2,No hay mucha informacion,no hay mucha informacion,['no hay mucha informacion'],['no haber mucho informacion']
4,Interesante opción,interesante opcion,['interesante opcion'],['interesante opcion']
5,Excelente,excelente,['excelente'],['excelente']
5,La pura sabrosura,la pura sabrosura,['la pura sabrosura'],['el puro sabrosura']
5,Hermoso club,hermoso club,['hermoso club'],['hermoso club']
5,Buen lugar,buen lugar,['buen lugar'],['buen lugar']
5,Limpio,limpio,['limpio'],['limpio']
5,Relajante,relajante,['relajante'],['relajante']
4,Agradable,agradable,['agradable'],['agradable']
4,Bueno,bueno,['bueno'],['bueno']
5,Gran Club!,gran club!,['gran club'],['gran club']
3,Diferentes actividades,diferentes actividades,['diferentes actividades'],['diferente actividad']
5,Un club completo!,un club completo!,['un club completo'],['uno club completo']
5,Nave,nave,['nave'],['nave']
5,Muy bonito,muy bonito,['muy bonito'],['mucho bonito']
5,Lindo lugar,lindo lugar,['lindo lugar'],['lindo lugar']
5,Muy bonito,muy bonito,['muy bonito'],['mucho bonito']
5,Excelente lugar,excelente lugar,['excelente lugar'],['excelente lugar']
5,Excelente,excelente,['excelente'],['excelente']
5,Bonito lugar,bonito lugar,['bonito lugar'],['bonito lugar']
5,Excelente,excelente,['excelente'],['excelente']
5,Excelente!,excelente!,['excelente'],['excelente']
5,Excelente,excelente,['excelente'],['excelente']
4,Bueno,bueno,['bueno'],['bueno']
5,excelente lugar,excelente lugar,['excelente lugar'],['excelente lugar']
5,Excelente,excelente,['excelente'],['excelente']
5,"Clun Majadas es un lugar agradable. Se han implementado medidas sanitarias para prevenir el contagio de COVID-19, por ejemplo, es necesario reservar la fila en la piscina o tu espacio en el gimnasio para hacer ejercicio. La próxima vez subiré fotos.","clun majadas es un lugar agradable. se han implementado medidas sanitarias para prevenir el contagio de covid-19, por ejemplo, es necesario reservar la fila en la piscina o tu espacio en el gimnasio para hacer ejercicio. la proxima vez subire fotos.","['clun majadas es un lugar agradable', 'se han implementado medidas sanitarias para prevenir el contagio de covid19 por ejemplo es necesario reservar la fila en la piscina o tu espacio en el gimnasio para hacer ejercicio', 'la proxima vez subire fotos']","['clun majada ser uno lugar agradable', 'él haber implementar medida sanitario para prevenir el contagio de por ejemplo ser necesario reservar el fila en el piscina o tu espacio en el gimnasio para hacer ejercicio', 'el proximo vez subire foto']"
4,"Es un lugar muy agradable. Hay piscina, gimnasio y diferentes clases de fitness por el precio de la membresía.","es un lugar muy agradable. hay piscina, gimnasio y diferentes clases de fitness por el precio de la membresia.","['es un lugar muy agradable', 'hay piscina gimnasio y diferentes clases de fitness por el precio de la membresia']","['ser uno lugar mucho agradable', 'haber piscina gimnasio y diferente clase de fitness por el precio de el membresia']"
5,Bonito club y canchas de tenis.,bonito club y canchas de tenis.,['bonito club y canchas de tenis'],['bonito club y cancha de tenis']
5,Gran lugar para relajarse y hacer ejercicio.,gran lugar para relajarse y hacer ejercicio.,['gran lugar para relajarse y hacer ejercicio'],['gran lugar para relajar él y hacer ejercicio']
5,¡Excelente!¡ 😀…,¡excelente!¡ 😀…,"['excelente', ' ']","['excelente', '']"
4,Relajante,relajante,['relajante'],['relajante']
5,Súper,super,['super'],['super']
5,"Es un lugar amplio, de fácil acceso con capacitad para mas de 120 carros, es muy limpio o, muy buen servicio la calidad de la comida es muy buena el precio a algunas personas les puede parecer un poco alto pero es buna la relación precio calidad, cuenta con amplias instalaciones al aire libre así como salones cerrados con baños propios la piscina es muy limpia, se los recomiendo a todos","es un lugar amplio, de facil acceso con capacitad para mas de 120 carros, es muy limpio o, muy buen servicio la calidad de la comida es muy buena el precio a algunas personas les puede parecer un poco alto pero es buna la relacion precio calidad, cuenta con amplias instalaciones al aire libre asi como salones cerrados con banios propios la piscina es muy limpia, se los recomiendo a todos",['es un lugar amplio de facil acceso con capacitad para mas de 120 carros es muy limpio o muy buen servicio la calidad de la comida es muy buena el precio a algunas personas les puede parecer un poco alto pero es buna la relacion precio calidad cuenta con amplias instalaciones al aire libre asi como salones cerrados con banios propios la piscina es muy limpia se los recomiendo a todos'],['ser uno lugar amplio de facil acceso con capacitad para mas de carro ser mucho limpio o mucho buen servicio el calidad de el comida ser mucho buen el precio a alguno persona él poder parecer uno poco alto pero ser bún el relacion precio calidad contar con amplio instalación al aire libre asi como salón cerrado con banio propio el piscina ser mucho limpio él él recomeir a todo']
